"outcome","rank","feature"
"Delayed_Graft_Function",1,"Expanded_criteria_donor"
"Delayed_Graft_Function",2,"Donor_age"
"Delayed_Graft_Function",3,"Donor_Sex_0_Male_1_Female"
"Delayed_Graft_Function",4,"Donor_BMI"
"Delayed_Graft_Function",5,"Donor_Hypertension_History"
"Delayed_Graft_Function",6,"Donor_Diabetes_History"
"Delayed_Graft_Function",7,"Donor_cause_of_death_code"
"Delayed_Graft_Function",8,"Donor_final_creatinine"
"Delayed_Graft_Function",9,"KDRI_2024"
"Delayed_Graft_Function",10,"KDPI_SUP_85_2024"
"Delayed_Graft_Function",11,"IFTA_GT1"
"Delayed_Graft_Function",12,"REMUZZI_GT1"
"Delayed_Graft_Function",13,"REMUZZI_OnCall_RP"
"Delayed_Graft_Function",14,"Fibrointimal_thickening_AI_All_Estimations"
"Delayed_Graft_Function",15,"Fibro15"
"Delayed_Graft_Function",16,"Fibro20"
"Delayed_Graft_Function",17,"Fibro25_human"
"Delayed_Graft_Function",18,"IFTA_AI_PERCENTAGE"
"Delayed_Graft_Function",19,"Glomerulosclerosis_PERCENTAGE_AI_PLUS_HUMAN_GT"
"Delayed_Graft_Function",20,"sGlomerulus_count"
"Delayed_Graft_Function",21,"Glomerular_density_count"
"Delayed_Graft_Function",22,"Average_glomerular_radius"
"Delayed_Graft_Function",23,"Std_glomerular_radius"
"Delayed_Graft_Function",24,"Average_sclglomerular_area"
"Delayed_Graft_Function",25,"Std_sclglomerular_area"
"Delayed_Graft_Function",26,"Std_cortical_tubular_area"
"Delayed_Graft_Function",27,"Std_cortical_tubular_radius"
"Delayed_Graft_Function",28,"Std_medullary_tubular_area"
"Delayed_Graft_Function",29,"Average_medullary_tubular_radius"
"Delayed_Graft_Function",30,"Std_medullary_tubular_radius"
"Delayed_Graft_Function",31,"Cortical_arterialolar_density"
"Delayed_Graft_Function",32,"Average_lumen_to_wall_ratio"
"Delayed_Graft_Function",33,"Cortical_tubular_density_area"
"Delayed_Graft_Function",34,"Cortical_artery_density_area"
"Delayed_Graft_Function",35,"Medullary_arteriole_density_area"
"Delayed_Graft_Function",36,"Gloms_cortex_tubules_ratio_"
"Delayed_Graft_Function",37,"Total_nephron_density_count"
"Delayed_Graft_Function",38,"Medullary_interstitial_density"
"Delayed_Graft_Function",39,"Cortical_tubule_count"
"Delayed_Graft_Function",40,"Average_TBM_Thickness_TF_Cortical"
"Delayed_Graft_Function",41,"Luminal_Fraction_TF_Cortical"
"Delayed_Graft_Function",42,"VASCULAR_Luminal_ratio_V_ARTERY_Max_AREA"
"Delayed_Graft_Function",43,"Mean_Distance_TF_By_Nuclei_Area_reviewed_MF01"
"Delayed_Graft_Function",44,"Max_Distance_TF_Nuclei_reviewed_MF01"
"Delayed_Graft_Function",45,"Sum_Distance_TF_By_Luminal_Space_Area_reviewed_MF01"
"Delayed_Graft_Function",46,"Energy_Nuclei_reviewed_MF01"
"Delayed_Graft_Function",47,"Correlation_Luminal_Space_reviewed_MF01"
