"outcome","rank","feature"
"eGFR_CKD_EPI_1M",1,"Expanded_criteria_donor"
"eGFR_CKD_EPI_1M",2,"Donor_age"
"eGFR_CKD_EPI_1M",3,"Donor_Sex_0_Male_1_Female"
"eGFR_CKD_EPI_1M",4,"Donor_BMI"
"eGFR_CKD_EPI_1M",5,"Donor_Hypertension_History"
"eGFR_CKD_EPI_1M",6,"Donor_Diabetes_History"
"eGFR_CKD_EPI_1M",7,"Donor_cause_of_death_code"
"eGFR_CKD_EPI_1M",8,"Donor_final_creatinine"
"eGFR_CKD_EPI_1M",9,"KDRI_2024"
"eGFR_CKD_EPI_1M",10,"KDPI_SUP_85_2024"
"eGFR_CKD_EPI_1M",11,"IFTA_GT1"
"eGFR_CKD_EPI_1M",12,"REMUZZI_GT1"
"eGFR_CKD_EPI_1M",13,"REMUZZI_OnCall_RP"
"eGFR_CKD_EPI_1M",14,"Fibrointimal_thickening_AI_All_Estimations"
"eGFR_CKD_EPI_1M",15,"Fibro15"
"eGFR_CKD_EPI_1M",16,"Fibro20"
"eGFR_CKD_EPI_1M",17,"Fibro25_human"
"eGFR_CKD_EPI_1M",18,"IFTA_AI_PERCENTAGE"
"eGFR_CKD_EPI_1M",19,"Glomerulosclerosis_PERCENTAGE_AI_PLUS_HUMAN_GT"
"eGFR_CKD_EPI_1M",20,"sGlomerulus_count"
"eGFR_CKD_EPI_1M",21,"Glomerular_density_count"
"eGFR_CKD_EPI_1M",22,"Average_glomerular_radius"
"eGFR_CKD_EPI_1M",23,"Std_glomerular_radius"
"eGFR_CKD_EPI_1M",24,"Average_sclglomerular_area"
"eGFR_CKD_EPI_1M",25,"Std_sclglomerular_area"
"eGFR_CKD_EPI_1M",26,"Std_cortical_tubular_area"
"eGFR_CKD_EPI_1M",27,"Std_cortical_tubular_radius"
"eGFR_CKD_EPI_1M",28,"Std_medullary_tubular_area"
"eGFR_CKD_EPI_1M",29,"Average_medullary_tubular_radius"
"eGFR_CKD_EPI_1M",30,"Std_medullary_tubular_radius"
"eGFR_CKD_EPI_1M",31,"Cortical_arterialolar_density"
"eGFR_CKD_EPI_1M",32,"Average_lumen_to_wall_ratio"
"eGFR_CKD_EPI_1M",33,"Cortical_tubular_density_area"
"eGFR_CKD_EPI_1M",34,"Cortical_artery_density_area"
"eGFR_CKD_EPI_1M",35,"Medullary_arteriole_density_area"
"eGFR_CKD_EPI_1M",36,"Gloms_cortex_tubules_ratio_"
"eGFR_CKD_EPI_1M",37,"Total_nephron_density_count"
"eGFR_CKD_EPI_1M",38,"Medullary_interstitial_density"
"eGFR_CKD_EPI_1M",39,"Cortical_tubule_count"
"eGFR_CKD_EPI_1M",40,"Average_TBM_Thickness_TF_Cortical"
"eGFR_CKD_EPI_1M",41,"Luminal_Fraction_TF_Cortical"
"eGFR_CKD_EPI_1M",42,"VASCULAR_Luminal_ratio_V_ARTERY_Max_AREA"
"eGFR_CKD_EPI_1M",43,"Mean_Distance_TF_By_Nuclei_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",44,"Max_Distance_TF_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_1M",45,"Sum_Distance_TF_By_Luminal_Space_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",46,"Energy_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_1M",47,"Correlation_Luminal_Space_reviewed_MF01"
"eGFR_CKD_EPI_1M",48,"Nuclei_Area_By_Object_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",49,"Eosinophilic_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",50,"Luminal_Space_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",51,"Nuclei_Number_reviewed_MF01"
"eGFR_CKD_EPI_1M",52,"Standard_Deviation_Aspect_Ratio_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_1M",53,"Mean_Nuclear_Area_reviewed_MF01"
"eGFR_CKD_EPI_1M",54,"Major_Axis_Length_reviewed_MF01"
"eGFR_CKD_EPI_1M",55,"Mean_Distance_Transform_By_Nuclei_Area_TF_CT_rev"
"eGFR_CKD_EPI_1M",56,"Max_Distance_Transform_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_1M",57,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_CT_rev"
"eGFR_CKD_EPI_1M",58,"Sum_Distance_Transform_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_1M",59,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_1M",60,"Mean_Distance_Transform_By_Luminal_Space_Area_TF_CT_rev"
"eGFR_CKD_EPI_1M",61,"Energy_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_1M",62,"Contrast_Eosinophilic_TF_CT_rev"
"eGFR_CKD_EPI_1M",63,"Correlation_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_1M",64,"Nuclei_Number_TF_CT_rev"
"eGFR_CKD_EPI_1M",65,"Standard_Deviation_Aspect_Ratio_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_1M",66,"Total_Object_Aspect_Ratio_TF_CT_rev"
"eGFR_CKD_EPI_1M",67,"Major_Axis_Length_TF_CT_rev"
"eGFR_CKD_EPI_1M",68,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_V_Mean_rev"
"eGFR_CKD_EPI_1M",69,"Energy_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_1M",70,"Mean_Aspect_Ratio_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_1M",71,"Standard_Deviation_Aspect_Ratio_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_1M",72,"Total_Object_Aspect_Ratio_V_Mean_rev"
"eGFR_CKD_EPI_1M",73,"Sum_Distance_Transform_By_Object_Area_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_1M",74,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_MaxAr_R"
"eGFR_CKD_EPI_1M",75,"Max_Distance_Transform_Eosinophilic_TF_MaxAr_R"
"eGFR_CKD_EPI_1M",76,"Sum_Distance_Transform_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_1M",77,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_1M",78,"Correlation_Nuclei_TF_MaxAr_R"
